,unique_id_l,Match_Weight_List_Agg,Match_Probability_List_Agg,Full Address list_agg,Account_Number_List_Agg,Account_Name_List_Agg,Premises_Activity_List_Agg,Local_Authority_List_Agg,unique_id_r_List_Agg,unique_id_r,unique_id_r_1,unique_id_r_2,unique_id_r_3,unique_id_r_4,unique_id_r_5,Custom
0,"100110011058DoneBrothers(CashBetting)LimitedBettingShopSalfordCityCouncilBetfredUnit21-23TheParade,SwintonMANCHESTERM274BHM27",MW: 21.96669784310152,MP: 0.9999997560139828,"BETFRED, 21 THE PARADE SWINTON, MANCHESTER, M27 4BH",AN: 1058,Done Brothers (Cash Betting) Limited,Betting Shop,Salford City Council,"5375371058DoneBrothers(CashBetting)LimitedBettingShopSalfordCityCouncilBetfred21TheParade,SwintonMANCHESTERM274BHM27","5375371058DoneBrothers(CashBetting)LimitedBettingShopSalfordCityCouncilBetfred21TheParade,SwintonMANCHESTERM274BHM27",,,,,,
1,100310031058DoneBrothers(CashBetting)LimitedBettingShopHertsmereBoroughCouncilBetfred199ShenleyRoadBOREHAMWOODWD61ATWD6,MW: 23.064480119345117,MP: 0.9999998860013783,"BETFRED, 159 SHENLEY ROAD, BOREHAMWOOD, WD6 1AH",AN: 1058,Done Brothers (Cash Betting) Limited,Betting Shop,Hertsmere Borough Council,135313531058DoneBrothers(CashBetting)LimitedBettingShopHertsmereBoroughCouncilBetfred159ShenleyRoadBOREHAMWOODWD61AHWD6,135313531058DoneBrothers(CashBetting)LimitedBettingShopHertsmereBoroughCouncilBetfred159ShenleyRoadBOREHAMWOODWD61AHWD6,,,,,,
2,101046777SJRPInvestmentsLimitedAdultGamingCentreSandwellMetropolitanBoroughCouncil182HighStreetnanWESTBROMWICHB707QSB70,MW: 31.80578393073608,MP: 0.999999999733618,"182 HIGH STREET, NAN, WEST BROMWICH, B70 7QS",AN: 46777,SJRP Investments Limited,Bingo,Sandwell Metropolitan Borough Council,9946777SJRPInvestmentsLimitedBingoSandwellMetropolitanBoroughCouncil182HighStreetnanWESTBROMWICHB707QSB70,9946777SJRPInvestmentsLimitedBingoSandwellMetropolitanBoroughCouncil182HighStreetnanWESTBROMWICHB707QSB70,,,,,,
3,102810281058DoneBrothers(CashBetting)LimitedBettingShopDoncasterMetropolitanBoroughCouncilBetfred15&part16-18YorkSquareMEXBOROUGHS649DGS64,MW: 21.96669784310152,MP: 0.9999997560139828,"BETFRED, 15 YORK SQUARE   HIGH STREET, MEXBOROUGH, S64 9DG",AN: 1058,Done Brothers (Cash Betting) Limited,Betting Shop,Doncaster Metropolitan Borough Council,9459451058DoneBrothers(CashBetting)LimitedBettingShopDoncasterMetropolitanBoroughCouncilBetfred15YorkSquareHighStreetMEXBOROUGHS649DGS64,9459451058DoneBrothers(CashBetting)LimitedBettingShopDoncasterMetropolitanBoroughCouncilBetfred15YorkSquareHighStreetMEXBOROUGHS649DGS64,,,,,,
4,1031031551AllanJohnWilcoxBettingShopCityofCardiffCouncilAlanWilcoxRacing344CowbridgeRoadEastCARDIFFCF51HDCF5,MW: 38.04217398184123,MP: 0.9999999999964668,"ALLAN WILCOX RACING, 344 COWBRIDGE ROAD EAST, CARDIFF, CF5 1HD",AN: 1551,Allan John Wilcox,Betting Shop,City of Cardiff Council,1061061551AllanJohnWilcoxBettingShopCityofCardiffCouncilAllanWilcoxRacing344CowbridgeRoadEastCARDIFFCF51HDCF5,1061061551AllanJohnWilcoxBettingShopCityofCardiffCouncilAllanWilcoxRacing344CowbridgeRoadEastCARDIFFCF51HDCF5,,,,,,
5,"103210321058DoneBrothers(CashBetting)LimitedBettingShopSunderlandCityCouncilBetfred10FrontStreet,Hetton-le-HoleHOUGHTONLESPRINGDH59PFDH5",MW: 22.234334165589555,MP: 0.999999797325834,"CORAL RACING LIMITED, 11 FRONT STREET HETTON-LE-HOLE, HOUGHTON LE SPRING, DH5 9PF",AN: 1611,Ladbrokes Betting & Gaming Limited,Betting Shop,Sunderland City Council,"269726971611LadbrokesBetting&GamingLimitedBettingShopSunderlandCityCouncilCoralRacingLimited11FrontStreet,Hetton-Le-HoleHOUGHTONLESPRINGDH59PFDH5","269726971611LadbrokesBetting&GamingLimitedBettingShopSunderlandCityCouncilCoralRacingLimited11FrontStreet,Hetton-Le-HoleHOUGHTONLESPRINGDH59PFDH5",,,,,,
6,104510451058DoneBrothers(CashBetting)LimitedBettingShopEastSuffolkCouncilBetfred99HamiltonRoadFELIXSTOWEIP117BLIP11,MW: 26.07771104881933,MP: 0.9999999858802584,"BETFRED, 99 HAMILTON ROAD, FELIXSTOWE, IP11 7DU",AN: 1058,Done Brothers (Cash Betting) Limited,Betting Shop,East Suffolk Council,111211121058DoneBrothers(CashBetting)LimitedBettingShopEastSuffolkCouncilBetfred99HamiltonRoadFELIXSTOWEIP117DUIP11,111211121058DoneBrothers(CashBetting)LimitedBettingShopEastSuffolkCouncilBetfred99HamiltonRoadFELIXSTOWEIP117DUIP11,,,,,,
7,"105310531058DoneBrothers(CashBetting)LimitedBettingShopSunderlandCityCouncilBetfredUnit2,57FawcettStreetSUNDERLANDSR11SESR1",MW: 30.189017582371704,MP: 0.9999999991830412,"BETFRED, UNIT 2  57 FAWCETT STREET, SUNDERLAND, SR1 1SE",AN: 1058,Done Brothers (Cash Betting) Limited,Betting Shop,Sunderland City Council,9539531058DoneBrothers(CashBetting)LimitedBettingShopSunderlandCityCouncilBetfredUnit257FawcettStreetSUNDERLANDSR11SESR1,9539531058DoneBrothers(CashBetting)LimitedBettingShopSunderlandCityCouncilBetfredUnit257FawcettStreetSUNDERLANDSR11SESR1,,,,,,
8,"106910691058DoneBrothers(CashBetting)LimitedBettingShopSolihullMetropolitanBoroughCouncilBetfred325ChesterRoad,CastleBromwichBIRMINGHAMB360JGB36",MW: 22.234334165589555,MP: 0.999999797325834,"LADBROKES, 323 CHESTER ROAD CASTLE BROMWICH, BIRMINGHAM, B36 0JG",AN: 1611,Ladbrokes Betting & Gaming Limited,Betting Shop,Solihull Metropolitan Borough Council,"567956791611LadbrokesBetting&GamingLimitedBettingShopSolihullMetropolitanBoroughCouncilLadbrokes323ChesterRoad,CastleBromwichBIRMINGHAMB360JGB36","567956791611LadbrokesBetting&GamingLimitedBettingShopSolihullMetropolitanBoroughCouncilLadbrokes323ChesterRoad,CastleBromwichBIRMINGHAMB360JGB36",,,,,,
9,109210921058DoneBrothers(CashBetting)LimitedBettingShopNeathPortTalbotCountyBoroughCouncilBetfred8/8aNewStreetNEATHSA111RTSA11,MW: 30.189017582371704,MP: 0.9999999991830412,"BETFRED, 8- 8A NEW STREET, NEATH, SA11 1RT",AN: 1058,Done Brothers (Cash Betting) Limited,Betting Shop,Neath Port Talbot County Borough Council,9529521058DoneBrothers(CashBetting)LimitedBettingShopNeathPortTalbotCountyBoroughCouncilBetfred8-8aNewStreetNEATHSA111RTSA11,9529521058DoneBrothers(CashBetting)LimitedBettingShopNeathPortTalbotCountyBoroughCouncilBetfred8-8aNewStreetNEATHSA111RTSA11,,,,,,
